index_1,candidate,index_2,pedestrian_dist
1,1,1,0.0
1,2,4,58.812
1,3,22,421.842
1,4,20,442.336
1,5,19,524.85
2,1,2,0.0
2,2,5,16.29
2,3,35,148.202
2,4,24,411.116
2,5,16,511.32700000000006
3,1,3,0.0
3,2,57,263.171
3,3,23,423.998
3,4,2,508.96900000000005
3,5,17,510.38300000000004
4,1,4,0.0
4,2,1,18.114
4,3,22,439.95599999999996
4,4,20,460.44999999999993
4,5,19,466.03799999999995
5,1,5,0.0
5,2,2,16.29
5,3,35,164.492
5,4,24,427.406
5,5,16,495.03700000000003
6,1,6,0.0
6,2,42,163.232
6,3,40,235.97899999999998
6,4,41,265.803
6,5,9,485.361
7,1,7,0.0
7,2,53,184.808
7,3,17,335.471
7,4,52,361.335
7,5,8,512.821
8,1,8,0.0
8,2,16,341.806
8,3,7,512.821
8,4,11,513.214
8,5,54,550.215
9,1,9,0.0
9,2,47,136.65200000000002
9,3,42,322.129
9,4,6,485.361
9,5,46,490.539
10,1,10,0.0
10,2,51,414.682
10,3,65,430.601
10,4,18,698.8639999999999
10,5,50,940.1519999999999
11,1,11,0.0
11,2,56,223.093
11,3,8,513.214
11,4,55,677.152
11,5,44,829.4549999999999
12,1,12,0.0
12,2,10,1360.067
12,3,51,1774.749
12,4,65,1790.6680000000001
12,5,18,1980.9569999999999
13,1,13,0.0
13,2,39,367.67600000000004
13,3,14,646.745
13,4,36,755.8389999999999
13,5,38,797.0000000000001
14,1,14,0.0
14,2,36,109.094
14,3,39,279.06899999999996
14,4,63,292.188
14,5,15,423.73
15,1,15,0.0
15,2,38,270.46099999999996
15,3,31,297.802
15,4,14,423.73
15,5,36,532.8240000000001
16,1,16,0.0
16,2,8,341.806
16,3,5,495.03700000000003
16,4,17,509.197
16,5,2,511.32700000000006
17,1,17,0.0
17,2,57,247.212
17,3,7,335.471
17,4,16,509.197
17,5,3,510.383
18,1,18,0.0
18,2,65,304.274
18,3,10,619.504
18,4,17,776.199
18,5,51,809.269
19,1,19,0.0
19,2,5,447.507
19,3,2,463.797
19,4,35,611.999
19,5,16,850.693
20,1,20,0.0
20,2,22,20.494
20,3,4,460.9560000000001
20,4,1,479.07000000000005
20,5,34,688.225
21,1,21,0.0
21,2,26,17.0
21,3,23,361.426
21,4,3,785.424
21,5,25,919.6819999999999
22,1,22,0.0
22,2,20,20.494
22,3,4,481.4500000000001
22,4,1,499.5640000000001
22,5,34,667.731
23,1,23,0.0
23,2,21,361.426
23,3,26,378.426
23,4,3,423.998
23,5,57,687.169
24,1,24,0.0
24,2,1,416.68899999999996
24,3,4,475.501
24,4,35,564.8779999999999
24,5,34,658.674
25,1,25,0.0
25,2,34,601.5110000000001
25,3,22,755.95
25,4,24,765.8230000000001
25,5,20,776.4440000000001
26,1,26,0.0
26,2,21,17.0
26,3,23,378.426
26,4,3,802.424
26,5,25,902.6819999999999
27,1,27,0.0
27,2,28,13.004
27,3,61,397.17999999999995
27,4,64,435.749
27,5,62,518.3710000000001
28,1,28,0.0
28,2,27,13.004
28,3,61,384.176
28,4,64,422.745
28,5,63,512.0509999999999
29,1,29,0.0
29,2,62,643.2239999999999
29,3,58,688.7130000000001
29,4,64,692.998
29,5,60,855.5550000000001
30,1,30,0.0
30,2,32,218.28400000000002
30,3,31,474.5210000000001
30,4,33,614.104
30,5,15,772.3230000000001
31,1,31,0.0
31,2,32,256.23699999999997
31,3,15,297.80199999999996
31,4,30,474.52099999999996
31,5,38,568.2629999999999
32,1,32,0.0
32,2,30,218.28400000000002
32,3,31,256.237
32,4,33,395.82000000000005
32,5,15,554.039
33,1,33,0.0
33,2,32,395.81999999999994
33,3,30,614.1039999999999
33,4,31,652.057
33,5,15,949.859
34,1,34,0.0
34,2,35,430.31399999999996
34,3,2,578.516
34,4,5,594.8059999999999
34,5,24,658.674
35,1,35,0.0
35,2,2,148.202
35,3,5,164.492
35,4,34,430.31399999999996
35,5,24,559.318
36,1,36,0.0
36,2,14,109.094
36,3,39,388.16299999999995
36,4,63,401.282
36,5,59,484.76800000000003
37,1,37,0.0
37,2,15,308.068
37,3,38,578.529
37,4,31,605.87
37,5,14,731.798
38,1,38,0.0
38,2,39,429.32399999999996
38,3,14,708.3929999999999
38,4,13,797.0
38,5,20,803.4879999999999
39,1,39,0.0
39,2,14,279.06899999999996
39,3,13,367.67600000000004
39,4,36,388.16299999999995
39,5,38,429.32400000000007
40,1,40,0.0
40,2,6,235.979
40,3,42,399.211
40,4,41,501.78200000000004
40,5,4,706.139
41,1,41,0.0
41,2,6,265.803
41,3,42,429.03499999999997
41,4,40,501.782
41,5,9,751.164
42,1,42,0.0
42,2,6,163.232
42,3,9,322.129
42,4,40,399.211
42,5,41,429.03499999999997
43,1,43,0.0
43,2,45,392.768
43,3,46,475.336
43,4,55,601.3489999999999
43,5,44,680.678
44,1,44,0.0
44,2,54,261.46000000000004
44,3,55,392.297
44,4,46,670.099
44,5,45,759.008
45,1,45,0.0
45,2,43,494.53000000000003
45,3,46,501.358
45,4,55,604.755
45,5,44,684.0840000000001
46,1,46,0.0
46,2,43,475.336
46,3,9,490.539
46,4,54,496.91799999999995
46,5,45,501.358
47,1,47,0.0
47,2,9,136.652
47,3,42,458.78099999999995
47,4,6,622.0129999999999
47,5,46,627.191
48,1,48,0.0
48,2,59,173.7
48,3,36,658.4680000000001
48,4,58,747.2750000000001
48,5,14,767.5620000000001
49,1,49,0.0
49,2,50,301.901
49,3,51,827.371
49,4,53,997.7940000000001
49,5,52,1174.3210000000001
50,1,50,0.0
50,2,49,301.901
50,3,51,525.47
50,4,53,695.893
50,5,52,872.4200000000001
51,1,51,0.0
51,2,10,414.682
51,3,65,504.995
51,4,50,525.47
51,5,53,529.8230000000001
52,1,52,0.0
52,2,53,176.527
52,3,7,361.335
52,4,17,696.806
52,5,51,706.35
53,1,53,0.0
53,2,52,176.527
53,3,7,184.808
53,4,17,520.279
53,5,51,529.8230000000001
54,1,54,0.0
54,2,44,261.46000000000004
54,3,46,496.918
54,4,8,550.215
54,5,43,604.934
55,1,55,0.0
55,2,44,392.29699999999997
55,3,45,604.7549999999999
55,4,54,653.7570000000001
55,5,11,677.152
56,1,56,0.0
56,2,11,223.093
56,3,8,736.307
56,4,55,900.2450000000001
56,5,44,1052.548
57,1,57,0.0
57,2,17,247.21200000000002
57,3,3,263.171
57,4,7,582.683
57,5,23,687.169
58,1,58,0.0
58,2,60,192.404
58,3,64,354.961
58,4,61,368.062
58,5,59,573.575
59,1,59,0.0
59,2,48,173.7
59,3,36,484.76800000000003
59,4,58,573.575
59,5,14,593.8620000000001
60,1,60,0.0
60,2,64,162.557
60,3,61,175.65800000000002
60,4,58,192.404
60,5,28,559.8340000000001
61,1,61,0.0
61,2,60,175.65800000000002
61,3,64,333.57000000000005
61,4,58,368.062
61,5,28,384.176
62,1,62,0.0
62,2,61,441.291
62,3,64,468.37699999999995
62,4,27,518.371
62,5,28,531.375
63,1,63,0.0
63,2,14,292.188
63,3,36,401.282
63,4,28,512.0509999999999
63,5,27,525.055
64,1,64,0.0
64,2,60,162.557
64,3,61,338.21500000000003
64,4,58,343.38199999999995
64,5,27,438.46
65,1,65,0.0
65,2,10,315.23
65,3,51,504.995
65,4,18,1014.0939999999999
65,5,50,1030.465
